#Copyright https://www.sports-reference.com/cfb/years/2019-schedule.html#schedule::none
#https://www.sports-reference.com/cfb/years/2019-schedule.html#schedule::none
Date,Winner,Pts,Loser,Pts
Aug 31 2019,(22)ÊSyracuse,24,Liberty,0
Aug 31 2019,Temple,56,Bucknell,12
Aug 31 2019,(10)ÊTexas,45,Louisiana Tech,14
Aug 31 2019,Texas Christian,39,Arkansas-Pine Bluff,7
Aug 31 2019,Texas Tech,45,Montana State,10
Aug 31 2019,Texas-El Paso,36,Houston Baptist,34
Aug 31 2019,Texas-San Antonio,35,Incarnate Word,7
Aug 31 2019,Troy,43,Campbell,14
Aug 31 2019,Virginia,30,Pittsburgh,14
Aug 31 2019,(13)ÊWashington,47,Eastern Washington,14
Aug 31 2019,(23)ÊWashington State,58,New Mexico State,7
Aug 31 2019,West Virginia,20,James Madison,13
Aug 31 2019,Western Michigan,48,Monmouth,13
Aug 31 2019,Wyoming,37,Missouri,31
Sep 1 2019,(4)ÊOklahoma,49,Houston,31
Sep 2 2019,(9)ÊNotre Dame,35,Louisville,17
Sep 6 2019,Arizona State,19,Sacramento State,7
Sep 6 2019,(24)ÊBoise State,14,Marshall,7
Sep 6 2019,Virginia,52,William & Mary,17
Sep 6 2019,Wake Forest,41,Rice,21
Sep 7 2019,(2)ÊAlabama,62,New Mexico State,10
Sep 7 2019,Alabama-Birmingham,31,Akron,20
Sep 7 2019,Appalachian State,56,Charlotte,41
Sep 7 2019,Arizona,65,Northern Arizona,41
Sep 7 2019,Arkansas State,43,Nevada-Las Vegas,17
Sep 7 2019,(10)ÊAuburn,24,Tulane,6
Sep 7 2019,Ball State,57,Fordham,29
Sep 7 2019,Baylor,63,Texas-San Antonio,14
Sep 7 2019,Boston College,45,Richmond,13
Sep 7 2019,Brigham Young,29,Tennessee,26
Sep 7 2019,California,20,(14)ÊWashington,19
Sep 7 2019,(18)ÊCentral Florida,48,Florida Atlantic,14
Sep 7 2019,(1)ÊClemson,24,(12)ÊTexas A&M,10
Sep 7 2019,Coastal Carolina,12,Kansas,7
Sep 7 2019,Colorado,34,(25)ÊNebraska,31
Sep 7 2019,Colorado State,38,Western Illinois,13
Sep 7 2019,Duke,45,North Carolina A&T,13
Sep 7 2019,East Carolina,48,Gardner-Webb,9
Sep 7 2019,(11)ÊFlorida,45,Tennessee-Martin,0
Sep 7 2019,Florida State,45,Louisiana-Monroe,44
Sep 7 2019,(3)ÊGeorgia,63,Murray State,17
Sep 7 2019,Georgia Southern,26,Maine,18
Sep 7 2019,Georgia State,48,Furman,42
Sep 7 2019,Georgia Tech,14,South Florida,10
Sep 7 2019,Hawaii,31,Oregon State,28
Sep 7 2019,Houston,37,Prairie View A&M,17
Sep 7 2019,Illinois,31,Connecticut,23
Sep 7 2019,Indiana,52,Eastern Illinois,0
Sep 7 2019,(20)ÊIowa,30,Rutgers,0
Sep 7 2019,Kansas State,52,Bowling Green State,0
Sep 7 2019,Kent State,26,Kennesaw State,23
Sep 7 2019,Kentucky,38,Eastern Michigan,17
Sep 7 2019,Louisiana,35,Liberty,14
Sep 7 2019,(6)ÊLouisiana State,45,(9)ÊTexas,38
Sep 7 2019,Louisiana Tech,20,Grambling State,14
Sep 7 2019,Louisville,42,Eastern Kentucky,0
Sep 7 2019,Maryland,63,(21)ÊSyracuse,20
Sep 7 2019,Memphis,55,Southern,24
Sep 7 2019,Miami (OH),48,Tennessee Tech,17
Sep 7 2019,(7)ÊMichigan,24,Army,21
Sep 7 2019,(19)ÊMichigan State,51,Western Michigan,17
Sep 7 2019,Middle Tennessee State,45,Tennessee State,26
Sep 7 2019,Minnesota,38,Fresno State,35
Sep 7 2019,Mississippi,31,Arkansas,17
Sep 7 2019,Mississippi State,38,Southern Mississippi,15
Sep 7 2019,Missouri,38,West Virginia,7
Sep 7 2019,North Carolina,28,Miami (FL),25
Sep 7 2019,North Carolina State,41,Western Carolina,0
Sep 7 2019,(5)ÊOhio State,42,Cincinnati,0
Sep 7 2019,(4)ÊOklahoma,70,South Dakota,14
Sep 7 2019,Oklahoma State,56,McNeese State,14
Sep 7 2019,(16)ÊOregon,77,Nevada,6
Sep 7 2019,(15)ÊPenn State,45,Buffalo,13
Sep 7 2019,Pittsburgh,20,Ohio,10
Sep 7 2019,Purdue,42,Vanderbilt,24
Sep 7 2019,San Diego State,23,UCLA,14
Sep 7 2019,South Alabama,37,Jackson State,14
Sep 7 2019,South Carolina,72,Charleston Southern,10
Sep 7 2019,Southern California,45,(23)ÊStanford,20
Sep 7 2019,Southern Illinois,45,Massachusetts,20
Sep 7 2019,Southern Methodist,49,North Texas,27
Sep 7 2019,Texas Tech,38,Texas-El Paso,3
Sep 7 2019,Tulsa,34,San Jose State,16
Sep 7 2019,(13)ÊUtah,35,Northern Illinois,17
Sep 7 2019,Utah State,62,Stony Brook,7
Sep 7 2019,Virginia Tech,31,Old Dominion,17
Sep 7 2019,(22)ÊWashington State,59,Northern Colorado,17
Sep 7 2019,Western Kentucky,20,Florida International,14
Sep 7 2019,(17)ÊWisconsin,61,Central Michigan,0
Sep 7 2019,Wyoming,23,Texas State,14
Sep 13 2019,Kansas,48,Boston College,24
Sep 13 2019,Wake Forest,24,North Carolina,18
Sep 13 2019,(20)ÊWashington State,31,Houston,24
Sep 14 2019,Air Force,30,Colorado,23
Sep 14 2019,(2)ÊAlabama,47,South Carolina,23
Sep 14 2019,Arizona,28,Texas Tech,14
Sep 14 2019,Arizona State,10,(18)ÊMichigan State,7
Sep 14 2019,Arkansas,55,Colorado State,34
Sep 14 2019,Army,31,Texas-San Antonio,13
Sep 14 2019,(8)ÊAuburn,55,Kent State,16
Sep 14 2019,(22)ÊBoise State,45,Portland State,10
Sep 14 2019,Brigham Young,30,(24)ÊSouthern California,27
Sep 14 2019,California,23,North Texas,17
Sep 14 2019,(17)ÊCentral Florida,45,Stanford,27
Sep 14 2019,Central Michigan,45,Akron,24
Sep 14 2019,Charlotte,52,Massachusetts,17
Sep 14 2019,Cincinnati,35,Miami (OH),13
Sep 14 2019,Citadel,27,Georgia Tech,24
Sep 14 2019,(1)ÊClemson,41,Syracuse,6
Sep 14 2019,Coastal Carolina,46,Norfolk State,7
Sep 14 2019,Duke,41,Middle Tennessee State,18
Sep 14 2019,Eastern Michigan,34,Illinois,31
Sep 14 2019,(9)ÊFlorida,29,Kentucky,21
Sep 14 2019,Florida Atlantic,41,Ball State,31
Sep 14 2019,Florida International,30,New Hampshire,17
Sep 14 2019,(3)ÊGeorgia,55,Arkansas State,0
Sep 14 2019,(19)ÊIowa,18,Iowa State,17
Sep 14 2019,Kansas State,31,Mississippi State,24
Sep 14 2019,Liberty,35,Buffalo,17
Sep 14 2019,Louisiana,77,Texas Southern,6
Sep 14 2019,(4)ÊLouisiana State,65,Northwestern State,14
Sep 14 2019,Louisiana Tech,35,Bowling Green State,7
Sep 14 2019,Louisville,38,Western Kentucky,21
Sep 14 2019,Marshall,33,Ohio,31
Sep 14 2019,Memphis,42,South Alabama,6
Sep 14 2019,Miami (FL),63,Bethune-Cookman,0
Sep 14 2019,Minnesota,35,Georgia Southern,32
Sep 14 2019,Mississippi,40,Southeastern Louisiana,29
Sep 14 2019,Missouri,50,Southeast Missouri State,0
Sep 14 2019,Navy,42,East Carolina,10
Sep 14 2019,Nebraska,44,Northern Illinois,8
Sep 14 2019,Nevada,19,Weber State,13
Sep 14 2019,Northwestern,30,Nevada-Las Vegas,14
Sep 14 2019,(7)ÊNotre Dame,66,New Mexico,14
Sep 14 2019,(6)ÊOhio State,51,Indiana,10
Sep 14 2019,(5)ÊOklahoma,48,UCLA,14
Sep 14 2019,Oklahoma State,40,Tulsa,21
Sep 14 2019,(15)ÊOregon,35,Montana,3
Sep 14 2019,Oregon State,45,Cal Poly,7
Sep 14 2019,(13)ÊPenn State,17,Pittsburgh,10
Sep 14 2019,San Diego State,31,New Mexico State,10
Sep 14 2019,South Florida,55,South Carolina State,16
Sep 14 2019,Southern Methodist,47,Texas State,17
Sep 14 2019,Southern Mississippi,47,Troy,42
Sep 14 2019,Temple,20,(21)ÊMaryland,17
Sep 14 2019,Tennessee,45,Chattanooga,0
Sep 14 2019,(12)ÊTexas,48,Rice,13
Sep 14 2019,(16)ÊTexas A&M,62,Lamar,3
Sep 14 2019,Texas Christian,34,Purdue,13
Sep 14 2019,Toledo,45,Murray State,0
Sep 14 2019,Tulane,58,Missouri State,6
Sep 14 2019,(11)ÊUtah,31,Idaho State,0
Sep 14 2019,(25)ÊVirginia,31,Florida State,24
Sep 14 2019,Virginia Tech,24,Furman,17
Sep 14 2019,(23)ÊWashington,52,Hawaii,20
Sep 14 2019,West Virginia,44,North Carolina State,27
Sep 14 2019,Western Michigan,57,Georgia State,10
Sep 14 2019,Wyoming,21,Idaho,16
Sep 19 2019,Tulane,38,Houston,31
Sep 20 2019,(20)ÊBoise State,30,Air Force,19
Sep 20 2019,Southern California,30,(10)ÊUtah,23
Sep 21 2019,(2)ÊAlabama,49,Southern Mississippi,7
Sep 21 2019,Alabama-Birmingham,35,South Alabama,3
Sep 21 2019,Appalachian State,34,North Carolina,31
Sep 21 2019,Arkansas State,41,Southern Illinois,28
Sep 21 2019,Army,52,Morgan State,21
Sep 21 2019,(8)ÊAuburn,28,(17)ÊTexas A&M,20
Sep 21 2019,Baylor,21,Rice,13
Sep 21 2019,Boston College,30,Rutgers,16
Sep 21 2019,Buffalo,38,Temple,22
Sep 21 2019,(23)ÊCalifornia,28,Mississippi,20
Sep 21 2019,(1)ÊClemson,52,Charlotte,10
Sep 21 2019,Coastal Carolina,62,Massachusetts,28
Sep 21 2019,Colorado,34,(24)ÊArizona State,31
Sep 21 2019,East Carolina,19,William & Mary,7
Sep 21 2019,Eastern Michigan,34,Central Connecticut State,29
Sep 21 2019,(9)ÊFlorida,34,Tennessee,3
Sep 21 2019,Florida Atlantic,42,Wagner,7
Sep 21 2019,Florida State,35,Louisville,24
Sep 21 2019,Fresno State,34,Sacramento State,20
Sep 21 2019,(3)ÊGeorgia,23,(7)ÊNotre Dame,17
Sep 21 2019,Hawaii,35,Central Arkansas,16
Sep 21 2019,Indiana,38,Connecticut,3
Sep 21 2019,Iowa State,72,Louisiana-Monroe,20
Sep 21 2019,Kent State,62,Bowling Green State,20
Sep 21 2019,Liberty,62,Hampton,27
Sep 21 2019,Louisiana,45,Ohio,25
Sep 21 2019,(4)ÊLouisiana State,66,Vanderbilt,38
Sep 21 2019,Louisiana Tech,43,Florida International,31
Sep 21 2019,Miami (FL),17,Central Michigan,12
Sep 21 2019,Michigan State,31,Northwestern,10
Sep 21 2019,Mississippi State,28,Kentucky,13
Sep 21 2019,Missouri,34,South Carolina,14
Sep 21 2019,Nebraska,42,Illinois,38
Sep 21 2019,Nevada,37,Texas-El Paso,21
Sep 21 2019,New Mexico,55,New Mexico State,52
Sep 21 2019,North Carolina State,34,Ball State,23
Sep 21 2019,North Texas,45,Texas-San Antonio,3
Sep 21 2019,(6)ÊOhio State,76,Miami (OH),5
Sep 21 2019,(16)ÊOregon,21,Stanford,6
Sep 21 2019,Pittsburgh,35,(15)ÊCentral Florida,34
Sep 21 2019,San Jose State,31,Arkansas,24
Sep 21 2019,Southern Methodist,41,(25)ÊTexas Christian,38
Sep 21 2019,Syracuse,52,Western Michigan,33
Sep 21 2019,(12)ÊTexas,36,Oklahoma State,30
Sep 21 2019,Texas State,37,Georgia State,34
Sep 21 2019,Toledo,41,Colorado State,35
Sep 21 2019,Troy,35,Akron,7
Sep 21 2019,Tulsa,24,Wyoming,21
Sep 21 2019,UCLA,67,(19)ÊWashington State,63
Sep 21 2019,Utah State,23,San Diego State,17
Sep 21 2019,(21)ÊVirginia,28,Old Dominion,17
Sep 21 2019,Wake Forest,49,Elon,7
Sep 21 2019,(22)ÊWashington,45,Brigham Young,19
Sep 21 2019,West Virginia,29,Kansas,24
Sep 21 2019,(13)ÊWisconsin,35,(11)ÊMichigan,14
Sep 26 2019,Memphis,35,Navy,23
Sep 27 2019,Air Force,41,San Jose State,24
Sep 27 2019,Arizona State,24,(15)ÊCalifornia,17
Sep 27 2019,Duke,45,Virginia Tech,10
Sep 27 2019,(12)ÊPenn State,59,Maryland,0
Sep 28 2019,(2)ÊAlabama,59,Mississippi,31
Sep 28 2019,Appalachian State,56,Coastal Carolina,37
Sep 28 2019,Arizona,20,UCLA,17
Sep 28 2019,Arkansas State,50,Troy,43
Sep 28 2019,(7)ÊAuburn,56,Mississippi State,23
Sep 28 2019,Baylor,23,Iowa State,21
Sep 28 2019,(22)ÊCentral Florida,56,Connecticut,21
Sep 28 2019,Cincinnati,52,Marshall,14
Sep 28 2019,(1)ÊClemson,21,North Carolina,20
Sep 28 2019,East Carolina,24,Old Dominion,21
Sep 28 2019,(9)ÊFlorida,38,Towson,0
Sep 28 2019,Florida Atlantic,45,Charlotte,27
Sep 28 2019,Florida State,31,North Carolina State,13
Sep 28 2019,Fresno State,30,New Mexico State,17
Sep 28 2019,Hawaii,54,Nevada,3
Sep 28 2019,Houston,46,North Texas,25
Sep 28 2019,(14)ÊIowa,48,Middle Tennessee State,3
Sep 28 2019,Liberty,17,New Mexico,10
Sep 28 2019,Louisiana,37,Georgia Southern,24
Sep 28 2019,Louisiana Tech,23,Rice,20
Sep 28 2019,Louisiana-Monroe,30,South Alabama,17
Sep 28 2019,Massachusetts,37,Akron,29
Sep 28 2019,Miami (OH),34,Buffalo,20
Sep 28 2019,(20)ÊMichigan,52,Rutgers,0
Sep 28 2019,(25)ÊMichigan State,40,Indiana,31
Sep 28 2019,Minnesota,38,Purdue,31
Sep 28 2019,(10)ÊNotre Dame,35,(18)ÊVirginia,20
Sep 28 2019,(5)ÊOhio State,48,Nebraska,7
Sep 28 2019,(6)ÊOklahoma,55,Texas Tech,16
Sep 28 2019,Oklahoma State,26,(24)ÊKansas State,13
Sep 28 2019,Pittsburgh,17,Delaware,14
Sep 28 2019,South Carolina,24,Kentucky,7
Sep 28 2019,Southern Methodist,48,South Florida,21
Sep 28 2019,Southern Mississippi,31,Texas-El Paso,13
Sep 28 2019,Stanford,31,Oregon State,28
Sep 28 2019,Syracuse,41,Holy Cross,3
Sep 28 2019,Temple,24,Georgia Tech,2
Sep 28 2019,(23)ÊTexas A&M,31,Arkansas,27
Sep 28 2019,Texas Christian,51,Kansas,14
Sep 28 2019,Texas State,24,Nicholls State,3
Sep 28 2019,Toledo,28,Brigham Young,21
Sep 28 2019,(19)ÊUtah,38,Washington State,13
Sep 28 2019,Utah State,34,Colorado State,24
Sep 28 2019,Vanderbilt,24,Northern Illinois,18
Sep 28 2019,Wake Forest,27,Boston College,24
Sep 28 2019,(17)ÊWashington,28,(21)ÊSouthern California,14
Sep 28 2019,Western Kentucky,20,Alabama-Birmingham,13
Sep 28 2019,Western Michigan,31,Central Michigan,15
Sep 28 2019,(8)ÊWisconsin,24,Northwestern,15
Sep 28 2019,Wyoming,53,Nevada-Las Vegas,17
Oct 3 2019,Georgia Southern,20,South Alabama,17
Oct 3 2019,Temple,27,East Carolina,17
Oct 4 2019,Cincinnati,27,(18)ÊCentral Florida,24
Oct 4 2019,San Jose State,32,New Mexico,21
Oct 5 2019,Alabama-Birmingham,35,Rice,20
Oct 5 2019,Arizona,35,Colorado,30
Oct 5 2019,Ball State,27,Northern Illinois,20
Oct 5 2019,Baylor,31,Kansas State,12
Oct 5 2019,(16)ÊBoise State,38,Nevada-Las Vegas,13
Oct 5 2019,Central Michigan,42,Eastern Michigan,16
Oct 5 2019,(10)ÊFlorida,24,(7)ÊAuburn,13
Oct 5 2019,Florida International,44,Massachusetts,0
Oct 5 2019,(3)ÊGeorgia,43,Tennessee,14
Oct 5 2019,Georgia State,52,Arkansas State,38
Oct 5 2019,Iowa State,49,Texas Christian,24
Oct 5 2019,Liberty,20,New Mexico State,13
Oct 5 2019,(5)ÊLouisiana State,42,Utah State,6
Oct 5 2019,Louisville,41,Boston College,39
Oct 5 2019,Maryland,48,Rutgers,7
Oct 5 2019,Memphis,52,Louisiana-Monroe,33
Oct 5 2019,(19)ÊMichigan,10,(14)ÊIowa,3
Oct 5 2019,Middle Tennessee State,24,Marshall,13
Oct 5 2019,Minnesota,40,Illinois,17
Oct 5 2019,Mississippi,31,Vanderbilt,6
Oct 5 2019,Missouri,42,Troy,10
Oct 5 2019,Navy,34,Air Force,25
Oct 5 2019,Nebraska,13,Northwestern,10
Oct 5 2019,North Carolina,38,Georgia Tech,22
Oct 5 2019,(9)ÊNotre Dame,52,Bowling Green State,0
Oct 5 2019,Ohio,21,Buffalo,20
Oct 5 2019,(4)ÊOhio State,34,(25)ÊMichigan State,10
Oct 5 2019,(6)ÊOklahoma,45,Kansas,20
Oct 5 2019,(13)ÊOregon,17,California,7
Oct 5 2019,Oregon State,48,UCLA,31
Oct 5 2019,(12)ÊPenn State,35,Purdue,7
Oct 5 2019,Pittsburgh,33,Duke,30
Oct 5 2019,San Diego State,24,Colorado State,10
Oct 5 2019,South Florida,48,Connecticut,22
Oct 5 2019,(24)ÊSouthern Methodist,43,Tulsa,37
Oct 5 2019,Stanford,23,(15)ÊWashington,13
Oct 5 2019,(11)ÊTexas,42,West Virginia,31
Oct 5 2019,Texas Tech,45,(21)ÊOklahoma State,35
Oct 5 2019,Texas-San Antonio,26,Texas-El Paso,16
Oct 5 2019,Toledo,31,Western Michigan,24
Oct 5 2019,Tulane,42,Army,33
Oct 5 2019,Virginia Tech,42,Miami (FL),35
Oct 5 2019,Western Kentucky,20,Old Dominion,3
Oct 5 2019,(8)ÊWisconsin,48,Kent State,0
Oct 9 2019,Appalachian State,17,Louisiana,7
Oct 10 2019,Louisiana-Monroe,24,Texas State,14
Oct 10 2019,North Carolina State,16,Syracuse,10
Oct 11 2019,Colorado State,35,New Mexico,21
Oct 11 2019,Miami (FL),17,(20)ÊVirginia,9
Oct 11 2019,(13)ÊOregon,45,Colorado,3
Oct 12 2019,Air Force,43,Fresno State,24
Oct 12 2019,(1)ÊAlabama,47,(24)ÊTexas A&M,28
Oct 12 2019,Alabama-Birmingham,33,Texas-San Antonio,14
Oct 12 2019,(18)ÊArizona State,38,Washington State,34
Oct 12 2019,Ball State,29,Eastern Michigan,23
Oct 12 2019,(22)ÊBaylor,33,Texas Tech,30
Oct 12 2019,(14)ÊBoise State,59,Hawaii,37
Oct 12 2019,Bowling Green State,20,Toledo,7
Oct 12 2019,Central Michigan,42,New Mexico State,28
Oct 12 2019,(25)ÊCincinnati,38,Houston,23
Oct 12 2019,(2)ÊClemson,45,Florida State,14
Oct 12 2019,Duke,41,Georgia Tech,23
Oct 12 2019,Florida Atlantic,28,Middle Tennessee State,13
Oct 12 2019,Florida International,48,Charlotte,23
Oct 12 2019,Georgia State,31,Coastal Carolina,21
Oct 12 2019,Indiana,35,Rutgers,0
Oct 12 2019,Iowa State,38,West Virginia,14
Oct 12 2019,Kent State,26,Akron,3
Oct 12 2019,Kentucky,24,Arkansas,20
Oct 12 2019,(5)ÊLouisiana State,42,(7)ÊFlorida,28
Oct 12 2019,Louisiana Tech,69,Massachusetts,21
Oct 12 2019,Louisville,62,(19)ÊWake Forest,59
Oct 12 2019,Marshall,31,Old Dominion,17
Oct 12 2019,(16)ÊMichigan,42,Illinois,25
Oct 12 2019,Minnesota,34,Nebraska,7
Oct 12 2019,Missouri,38,Mississippi,27
Oct 12 2019,Navy,45,Tulsa,17
Oct 12 2019,Nevada,41,San Jose State,38
Oct 12 2019,Nevada-Las Vegas,34,Vanderbilt,10
Oct 12 2019,Northern Illinois,39,Ohio,36
Oct 12 2019,(9)ÊNotre Dame,30,Southern California,27
Oct 12 2019,(6)ÊOklahoma,34,(11)ÊTexas,27
Oct 12 2019,(10)ÊPenn State,17,(17)ÊIowa,12
Oct 12 2019,Purdue,40,Maryland,14
Oct 12 2019,San Diego State,26,Wyoming,22
Oct 12 2019,South Carolina,20,(3)ÊGeorgia,17
Oct 12 2019,South Florida,27,Brigham Young,23
Oct 12 2019,Southern Mississippi,45,North Texas,27
Oct 12 2019,Temple,30,(23)ÊMemphis,28
Oct 12 2019,Tennessee,20,Mississippi State,10
Oct 12 2019,Tulane,49,Connecticut,7
Oct 12 2019,(15)ÊUtah,52,Oregon State,7
Oct 12 2019,Virginia Tech,34,Rhode Island,17
Oct 12 2019,Washington,51,Arizona,27
Oct 12 2019,Western Kentucky,17,Army,8
Oct 12 2019,Western Michigan,38,Miami (OH),16
Oct 12 2019,(8)ÊWisconsin,38,Michigan State,0
Oct 16 2019,Troy,37,South Alabama,13
Oct 17 2019,Louisiana,37,Arkansas State,20
Oct 17 2019,UCLA,34,Stanford,16
Oct 18 2019,Fresno State,56,Nevada-Las Vegas,27
Oct 18 2019,(4)ÊOhio State,52,Northwestern,3
Oct 18 2019,Pittsburgh,27,Syracuse,20
Oct 19 2019,Air Force,56,Hawaii,26
Oct 19 2019,(1)ÊAlabama,35,Tennessee,13
Oct 19 2019,Alabama-Birmingham,38,Old Dominion,14
Oct 19 2019,(24)ÊAppalachian State,52,Louisiana-Monroe,7
Oct 19 2019,(11)ÊAuburn,51,Arkansas,10
Oct 19 2019,Ball State,52,Toledo,14
Oct 19 2019,(18)ÊBaylor,45,Oklahoma State,27
Oct 19 2019,Boston College,45,North Carolina State,24
Oct 19 2019,Brigham Young,28,(14)ÊBoise State,25
Oct 19 2019,Buffalo,21,Akron,0
Oct 19 2019,Central Florida,41,East Carolina,28
Oct 19 2019,Central Michigan,38,Bowling Green State,20
Oct 19 2019,(21)ÊCincinnati,24,Tulsa,13
Oct 19 2019,(3)ÊClemson,45,Louisville,10
Oct 19 2019,Eastern Michigan,34,Western Michigan,27
Oct 19 2019,(9)ÊFlorida,38,South Carolina,27
Oct 19 2019,Florida International,32,Texas-El Paso,17
Oct 19 2019,(10)ÊGeorgia,21,Kentucky,0
Oct 19 2019,Georgia Southern,30,Coastal Carolina,27
Oct 19 2019,Georgia State,28,Army,21
Oct 19 2019,Georgia Tech,28,Miami (FL),21
Oct 19 2019,Houston,24,Connecticut,17
Oct 19 2019,Illinois,24,(6)ÊWisconsin,23
Oct 19 2019,Indiana,34,Maryland,28
Oct 19 2019,(23)ÊIowa,26,Purdue,20
Oct 19 2019,Iowa State,34,Texas Tech,24
Oct 19 2019,Kansas State,24,Texas Christian,17
Oct 19 2019,Liberty,59,Maine,44
Oct 19 2019,(2)ÊLouisiana State,36,Mississippi State,13
Oct 19 2019,Louisiana Tech,45,Southern Mississippi,30
Oct 19 2019,Marshall,36,Florida Atlantic,31
Oct 19 2019,Memphis,47,Tulane,17
Oct 19 2019,Miami (OH),27,Northern Illinois,24
Oct 19 2019,(20)ÊMinnesota,42,Rutgers,7
Oct 19 2019,Navy,35,South Florida,3
Oct 19 2019,North Texas,33,Middle Tennessee State,30
Oct 19 2019,Ohio,45,Kent State,38
Oct 19 2019,(5)ÊOklahoma,52,West Virginia,14
Oct 19 2019,(12)ÊOregon,35,(25)ÊWashington,31
Oct 19 2019,Oregon State,21,California,17
Oct 19 2019,(7)ÊPenn State,28,(16)ÊMichigan,21
Oct 19 2019,San Diego State,27,San Jose State,17
Oct 19 2019,Southern California,41,Arizona,14
Oct 19 2019,(19)ÊSouthern Methodist,45,Temple,21
Oct 19 2019,(15)ÊTexas,50,Kansas,48
Oct 19 2019,Texas A&M,24,Mississippi,17
Oct 19 2019,Texas-San Antonio,31,Rice,27
Oct 19 2019,(13)ÊUtah,21,(17)ÊArizona State,3
Oct 19 2019,Utah State,36,Nevada,10
Oct 19 2019,Vanderbilt,21,(22)ÊMissouri,14
Oct 19 2019,Virginia,48,Duke,14
Oct 19 2019,Virginia Tech,43,North Carolina,41
Oct 19 2019,Wake Forest,22,Florida State,20
Oct 19 2019,Washington State,41,Colorado,10
Oct 19 2019,Western Kentucky,30,Charlotte,14
Oct 19 2019,Wyoming,23,New Mexico,10
